Date and time,Wind speed (m/s),Rotor speed (RPM),Pitch angle (°),Nacelle position (°),Wind direction (°),Nacelle ambient temperature (°C),Power (kW),Yaw error (°)
2019-07-03 08:20:00,11.48185983,15.19113193,5.009695769,232.146637,235.8147119,6.960000038,1977.332935,3.6680748999999935
2019-07-03 08:30:00,11.69918962,15.18348303,6.394774601,232.146637,234.6290993,7.10249989,2048.152057,2.482462300000009
2019-07-03 08:40:00,12.85340581,15.22047235,9.21093046,232.146637,233.4326107,7.30999999,2051.766217,1.2859736999999996
2019-07-03 08:50:00,13.3180438,15.10511345,9.731255846,232.146637,235.7633335,7.489999986,2038.65459,3.616696499999989
2019-07-03 09:00:00,14.0351131,15.16732197,10.75269518,235.1077975,238.0433191,7.704999924,2054.624854,2.935521599999987
2019-07-03 09:10:00,12.70934224,15.18039702,9.814511164,234.5578196,235.1457214,7.812500215,2054.522961,0.5879018000000258
2019-07-03 09:20:00,12.9082211,15.16729505,9.065817801,233.2442017,235.7161015,7.955000186,2052.429346,2.471899800000017
2019-07-03 09:30:00,12.17531781,15.17024311,7.800432964,234.1197786,239.1147919,8.147500086,2033.071185,4.995013300000011
2019-07-03 09:40:00,14.32797384,15.228742,11.15831246,235.1739751,234.7415683,8.227499771,2046.192889,-0.43240679999999543
2019-07-03 09:50:00,15.64360938,15.14748994,13.81715756,232.6330941,229.8544296,8.242499828,2042.859381,-2.7786644999999908
2019-07-03 10:00:00,16.07635713,15.24042723,14.48092619,233.6179125,237.4724695,8.262499905,2068.13819,3.854557
2019-07-03 10:10:00,14.78565063,15.1938538,12.7155539,236.5368958,239.0277733,8.125000095,2041.539948,2.4908775000000105
2019-07-03 10:20:00,13.87801857,15.11637975,10.46444759,236.5368958,239.522339,8.147500038,2038.97207,2.9854431999999917
2019-07-03 10:30:00,14.94580808,15.16202442,12.5175188,237.7965636,240.0122372,8.182499838,2052.263971,2.215673599999974
2019-07-03 10:40:00,16.23109407,15.23733594,13.66742147,231.5978043,242.0142782,8.120000219,2059.713202,10.4164739
2019-07-03 10:50:00,13.10366545,15.17445284,9.529916836,233.2442017,242.1558428,8.095000362,2046.717877,8.911641099999997
2019-07-03 11:00:00,14.46758227,15.08987291,11.35113117,234.3413635,240.8190613,8.105000305,2038.965613,6.477697799999987
2019-07-03 11:10:00,14.52605419,15.09262446,11.72956054,237.6344604,243.3512385,8.407499743,2026.087744,5.716778099999999
2019-07-03 11:20:00,15.96049103,15.17714155,14.28167243,237.6344604,239.8757642,8.407894385,2048.659282,2.241303799999997
2019-07-03 11:30:00,14.69581805,15.19572056,12.41429993,237.6344604,243.2720453,8.449999809,2040.144146,5.637584900000007
2019-07-03 11:40:00,15.16970878,15.1242249,12.48697241,237.6344604,243.2592762,8.38999958,2045.059119,5.624815799999993
2019-07-03 11:50:00,14.22571292,15.20267661,11.14388354,237.6344604,244.9148364,8.259999704,2051.917188,7.280376000000018
2019-07-03 12:00:00,14.1184402,15.04831798,10.99713146,244.8763324,242.0945742,8.08000021,2013.134631,-2.7817581999999845
2019-07-03 12:10:00,15.26328333,15.10085704,13.29322653,248.1179721,245.8197001,8.042105524,2046.843043,-2.298271999999997
2019-07-03 12:20:00,15.93175526,15.13716911,14.51061557,253.0003662,248.480342,7.877500105,2041.884589,-4.520024199999995
2019-07-03 12:30:00,15.09850311,15.14366761,13.71778574,253.0003662,248.888632,7.825000143,2044.036377,-4.111734200000001
2019-07-03 12:40:00,15.53377523,15.15853491,13.66585536,253.0003662,251.450817,7.675000095,2052.151892,-1.5495492000000013
2019-07-03 12:50:00,14.32175541,15.10067046,12.5565692,253.0003662,247.9709894,7.519999957,2038.234143,-5.029376799999994
2019-07-03 13:00:00,12.8891983,15.07565726,11.05895575,253.0003662,247.1888698,7.478947338,2045.049246,-5.81149640000001
2019-07-03 13:10:00,16.30770606,15.2314054,14.43823289,253.0003662,247.6684732,7.568749934,2068.090889,-5.331893000000008
2019-07-03 13:20:00,15.41358094,15.11680578,13.89069195,253.0003662,243.4778948,7.421052682,2032.702142,-9.5224714
2019-07-03 13:30:00,16.67815342,15.15286539,14.32501036,253.0003662,244.8564889,7.417500043,2050.219458,-8.143877300000014
2019-07-03 13:40:00,16.89317513,15.15089583,14.84555513,253.0003662,245.6753484,7.129999924,2060.308968,-7.325017800000012
2019-07-03 13:50:00,14.61912554,15.20524165,12.57484198,253.0003662,249.84611,6.947368471,2053.402697,-3.154256199999992
