,Unnamed: 0,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
872,9766,7.211556649,894.0794983,0.0,13.83753003
873,9767,7.579057121,975.7400391,0.0,14.20146646
874,9768,7.552549791,1084.853503,0.0,14.53348853
875,9770,8.131811333,1274.986179,0.0,14.9731033
876,9772,7.908968496,1035.332523,0.0,14.46123706
877,9773,8.074174571,1234.144727,0.025,14.75111581
878,9776,8.072262669,1219.39376,0.043157894,14.66381362
879,9777,7.824465752,1225.741221,0.027777778,14.55675478
880,9778,8.222619057,1453.370441,0.159000001,15.06129706
881,9779,8.617537248,1420.581058,0.362499994,14.96927887
882,9780,8.368204737,1389.554514,0.073500001,14.92080876
883,9781,8.164680981,1245.066681,0.0,14.73520584
884,9782,8.421516156,1461.060242,0.0245,15.02133939
885,9783,8.266742039,1409.429163,0.339500002,15.02413841
886,9787,8.807263494,1545.161157,0.512,14.87970257
887,9788,8.683795402,1373.798724,0.454500014,14.77950624
888,9790,8.841288495,1576.836526,0.581000014,15.05479382
889,9794,8.20440917,1422.556219,0.0215,14.89773059
890,9795,8.839673471,1510.395053,0.332499996,14.95981734
891,9803,8.408318329,1486.06644,0.260499994,14.91914298
892,9806,9.084772754,1572.896881,1.418499989,14.89820293
893,10013,9.166948915,1617.806024,0.928500003,15.09788954
894,10014,9.680629134,1741.394788,1.416000006,15.03954542
895,10015,9.256587315,1705.079279,2.03600001,14.94150236
896,10030,8.978669477,1594.031229,1.093500008,15.07926701
897,10032,9.918581748,1781.067279,2.720000029,15.1088254
898,10033,8.700844646,1397.998724,0.468500006,14.88036615
899,10035,9.728000569,1789.949542,1.124000028,15.15843026
900,10097,7.765461636,936.5135666,0.0,13.9060286
901,10098,8.13364892,1179.682184,0.0,14.93269596
902,10099,8.066805291,1246.392517,0.0,15.06988031
903,10100,7.735817409,1095.426544,0.0,14.59457405
904,10101,7.876651168,1202.706793,0.0,14.75606252
905,10102,7.851257586,1145.545078,0.0,14.66938278
906,10103,7.589433622,1049.446619,0.0,14.40780732
907,10104,8.441136694,1431.984814,0.0625,15.04954161
908,10106,8.669325519,1475.325882,0.297499996,15.06590398
909,10116,8.671385884,1439.074933,0.1125,15.09265982
910,10195,8.346004057,1359.787592,0.057499999,14.98580061
911,10196,8.433827024,1278.056586,0.0,14.92194767
912,10197,8.615253019,1465.169537,0.073000002,15.10907055
913,10198,8.480396438,1430.26524,0.0,15.09007582
914,10201,8.302437687,1351.483676,0.0305,14.95156252
915,10202,8.444793534,1271.463779,0.134499997,14.92940551
916,10203,8.197782278,1428.530203,0.383500006,14.95021373
917,10204,7.942789412,1136.105273,0.0,14.57918224
918,10205,7.693309259,1186.005566,0.0,14.42219366
919,10208,8.682523394,1458.553729,0.739499995,14.99388595
920,10316,6.855342364,878.7708389,0.0245,13.44995856
921,10379,6.437147784,754.0536362,0.0,13.02325197
922,10397,7.102817464,837.677562,0.0,13.35710147
923,10413,6.960962999,849.5999268,0.0,13.54216857
924,10414,6.510284019,764.5770416,0.0,13.10300919
925,10415,5.959144819,608.0692764,0.0,12.22765262
926,10416,6.488918543,660.6666168,0.0,12.55809604
927,10417,6.440115664,716.7010295,0.0,12.85646439
928,10422,6.902416825,871.3323151,0.027500001,13.26357968
929,10441,6.74554503,823.876107,0.0,12.85697539
930,10453,6.61655426,642.7532059,0.0,12.37783921
931,10520,9.027340364,1600.787878,0.161500002,15.13560538
932,10529,7.94422924,1302.072076,0.0655,14.90618786
933,10532,8.655533671,1423.491507,0.0555,15.02261366
934,10533,8.133463359,1288.778564,0.064,14.90975292
