,Unnamed: 0,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
90,1131,2.194677711,3.471772456,12.8020004,6.537893937
91,1140,2.470623803,6.017737705,10.21300035,6.974088354
92,1150,3.426491511,22.20282867,12.71200027,6.007211253
93,1181,3.36927464,33.9128608,16.00050041,5.537319873
94,1253,2.838210666,11.36853853,16.7010006,5.931430718
95,1254,3.731899107,36.52658841,8.479000102,6.891283315
96,1255,3.745940781,33.99807571,9.035000229,6.968578756
97,1256,3.44153266,29.77097168,7.20300014,7.074658765
98,1258,3.264974535,1.954981089,11.92650033,6.358328674
99,1410,7.405441976,603.2989792,4.800499991,10.91385801
100,1446,9.051545954,1654.059076,0.0755,15.14036751
101,1450,9.652376938,1783.794696,0.4755,15.13968489
102,1456,9.259353161,1719.284644,0.209999999,15.15027644
103,1459,9.706653738,1832.2198,0.631999999,15.15580273
104,1460,9.458621669,1840.533856,0.479500002,15.16980198
105,1463,8.578035212,1564.338489,0.238500005,15.12702705
106,1464,9.861205006,1915.022577,1.422000002,15.17489603
107,1465,9.868592906,1994.154144,2.694500005,15.1596812
108,1466,9.991012716,1917.302386,1.746999997,15.11493203
109,1467,10.54007282,2038.94906,3.615499997,15.1663987
110,1468,10.37922878,2033.537482,2.513,15.15931401
111,1469,9.770638752,1855.55387,0.905000013,15.15795055
112,1474,10.55000381,1990.781177,3.045999998,15.13776192
113,1476,10.50203824,2026.212598,4.127000034,15.17452231
114,1477,10.58194981,2012.362579,2.765499988,15.14940423
115,1478,10.08898551,1939.554443,1.436500004,15.11804447
116,1479,9.005380988,1683.803583,0.158999995,15.17426965
117,1480,9.403472281,1763.806915,0.336500001,15.17229742
118,1488,9.82031188,1945.149652,1.512500012,15.15372147
119,1489,10.7756494,2001.445453,3.345499998,15.14744094
120,1497,9.710013533,1894.019507,1.176499993,15.11964905
121,1498,10.30762346,1952.299548,2.380999961,15.16383876
122,1501,10.89625001,2008.642267,3.239999974,15.14894181
123,1503,9.183024049,1653.111554,1.406000012,15.05094042
124,1507,8.686310172,1616.092303,0.901999989,15.14905179
125,1510,11.34260387,2032.262854,4.89000001,15.15428889
126,1511,10.89491348,2042.385602,4.001000041,15.16734128
127,1512,9.994799376,1829.590549,2.340999994,15.0889459
128,1513,9.69779942,1904.119287,2.385499991,15.16270164
129,1514,10.06903086,1791.649365,1.959000012,15.14092478
130,1515,9.779139368,1934.781359,2.554210509,15.19022071
131,1516,10.44870834,1976.086572,3.276499986,15.15376711
132,1517,10.25777426,1917.9992,2.972499973,15.14307305
133,1519,10.02914007,1942.267505,3.012500012,15.16410331
134,1521,11.6148416,2050.975482,6.423500013,15.22925927
135,1522,12.36977673,2049.521613,8.914500022,15.15803777
136,1523,13.47567553,2059.832153,10.59299994,15.19770692
137,1524,11.85151343,2061.238885,7.717368477,15.18034835
138,1525,12.57613783,2044.535181,8.961999965,15.11050352
139,1526,12.28715672,2039.727002,8.518999898,15.14077145
140,1527,12.51664495,2063.298529,9.522500026,15.20020035
141,1528,13.25485706,2059.856158,9.346499991,15.17062846
142,1529,11.56307068,2051.930505,5.607499993,15.13523018
143,1543,9.225214732,1412.370599,0.03,15.10656623
144,1550,10.01727865,1878.874091,1.491500044,15.15914972
145,1551,9.723805404,1781.356946,1.27400001,15.07385096
146,1553,10.46688089,1938.707758,2.149500006,15.16419563
147,1554,9.970259833,1863.420844,1.956500016,15.13617991
148,1555,10.39300215,1952.98725,2.02999998,15.14612174
149,1559,10.80378824,1997.452981,5.203333281,15.18809785
150,1560,12.08029623,2047.014532,7.722999984,15.16921739
151,1561,11.61586256,2041.362256,8.074500084,15.16086946
152,1562,11.84429264,2054.797723,7.115499997,15.2016677
153,1564,10.53361309,1993.370404,4.908999991,15.14631142
154,1568,12.18680797,2062.565967,7.416999984,15.19279969
155,1571,11.76616304,2016.044519,5.354499981,15.10721424
156,1572,11.27227058,2029.899841,5.725999987,15.21345149
157,1579,11.56212406,2065.901111,5.965500009,15.24815333
158,1580,10.49409351,1996.827686,3.997999975,15.15435058
159,1584,10.58820536,2011.733044,4.878999995,15.13390204
160,1586,11.46446681,2042.351447,5.914500016,15.1409099
161,1589,11.00872035,2023.357654,5.485500026,15.16778657
162,1591,11.67589454,2047.786554,5.91600005,15.20053612
163,1593,10.69466124,1984.122137,3.169500035,15.12399919
164,1594,10.52659645,1954.876465,1.925500008,15.15919751
165,1598,10.25981638,1949.028973,1.881999971,15.14306219
166,1599,10.51118956,1924.524286,2.211500009,15.15620153
167,1601,10.74949493,2008.631945,3.413684186,15.1786307
168,1603,10.75448227,1935.124178,2.60266668,15.11822504
169,1604,10.63507573,1887.81956,3.073888938,15.1412649
170,1605,9.762007093,1689.481461,1.102499992,15.07355748
171,1607,8.82386297,1209.568016,0.0,14.80792522
172,1621,6.29982121,419.2993078,2.956500053,10.59299125
173,1625,6.826205373,501.3013865,0.0,11.47709474
174,1627,6.718815136,491.787826,0.124000001,11.35820031
175,1684,3.14035483,107.067938,0.085000002,8.130407855
176,1692,3.012069368,106.0573917,0.171500003,8.129958317
177,1698,5.05745281,130.1255561,0.073500001,8.25432533
178,1743,6.481177974,399.815123,0.0,10.75742997
179,1747,6.926696587,492.7748444,0.0,11.44150208
180,1849,2.327154357,0.876171012,5.018947476,7.845041632
181,1856,3.001919103,4.562871984,15.20250032,5.500017771
182,1942,5.375267528,428.1857697,0.0,10.93366389
183,2040,2.741924286,19.66072358,19.94100065,5.087705506
184,2062,2.209798172,0.49083052,1.49000001,8.327001572
185,2121,3.422746217,25.79575033,1.49000001,8.146745771
186,2175,8.67565527,1543.499197,0.568500001,14.95216687
187,2180,10.23691001,1975.081952,3.227500002,15.1360618
188,2183,10.52017379,2028.108221,5.264999974,15.1261438
189,2187,9.984515786,1716.945074,1.562500013,15.12420684
190,2189,9.307355785,1788.584778,1.402499995,15.13595729
191,2190,9.863191247,1963.864923,3.156000008,15.17768092
192,2193,10.05064876,1959.370972,2.940499999,15.15743588
193,2197,11.13947449,2051.019788,6.645499992,15.18242168
194,2200,11.0792949,2037.660071,6.171000051,15.09240492
195,2203,10.19112906,1988.650745,3.536000016,15.16338167
196,2204,9.734181881,1933.749072,2.614210516,15.17180796
197,2205,9.324154925,1848.746527,1.498999995,15.14435014
198,2208,8.981361198,1702.834186,0.593000004,15.11562212
199,2209,9.750646758,1869.246515,1.937499994,15.14377454
200,2216,9.892018795,1758.307269,1.223499987,15.15911423
201,2217,9.841250396,1962.935541,1.766500035,15.12343781
202,2218,9.422480488,1866.860529,1.70800001,15.14650565
203,2219,9.516425228,1519.755896,0.200500003,15.10005695
204,2295,9.697910786,1628.795721,0.028999999,15.15361091
205,2340,10.05054274,1877.183856,0.708499994,15.20083523
206,2406,8.114647134,841.3665237,0.0,13.58101185
207,2466,10.45743251,1881.951508,0.574499996,15.16499645
208,2467,9.915147614,1939.131897,0.828000007,15.12772599
209,2468,9.703034019,1882.836127,0.362000008,15.15865007
210,2469,9.250461721,1877.606415,0.425000007,15.13930812
211,2470,9.499793196,1900.612402,0.871500005,15.13623708
212,2471,10.16826587,2044.796631,2.509499997,15.16738862
213,2474,9.90720315,1908.271777,0.769000009,15.12686107
214,2475,10.51328716,2021.628979,1.940499996,15.14854565
215,2476,10.58126302,2050.224249,2.505000004,15.15090188
216,2477,10.67310931,2051.280929,2.881052651,15.13593929
217,2478,9.551992868,1900.012368,0.426842114,15.1690793
218,2479,10.3793402,1958.075012,0.802499992,15.14166847
219,2480,10.42444701,1991.381903,0.793000007,15.15019718
220,2481,9.964002258,1857.063245,0.515000001,15.14334297
221,2571,8.544492745,1342.40455,0.162105265,14.43870508
222,2573,8.787791324,1354.931477,0.647499996,14.58481805
223,2603,9.669584346,1674.40697,0.781000012,15.07638779
224,2605,9.949080038,1846.754315,1.28350002,15.19367051
225,2606,10.24075255,2003.647858,3.440499979,15.09900914
226,2618,13.86779079,2057.547052,10.26149995,15.18744886
227,2619,13.70856156,2044.544275,11.38600008,15.14353403
228,2620,13.92925143,2046.714691,11.18950009,15.15592191
229,2621,14.11147933,2054.194812,10.88299994,15.18945752
230,2622,14.44196606,2066.234546,10.95949998,15.23871535
231,2623,13.50105138,2056.938232,10.53800006,15.18624799
232,2624,13.55820553,2061.294779,9.267500003,15.21558166
233,2626,12.70934229,2054.639807,9.846500015,15.1907161
234,2636,13.32019715,2043.995801,10.03650002,15.14694773
235,2639,13.19203384,2044.064,9.569285836,15.13768137
236,2643,13.45763369,2059.428265,10.30299997,15.16872713
237,2659,13.56245623,2039.113452,9.339499986,15.16010061
238,2663,14.17496309,2053.336902,11.14849987,15.19287117
239,2664,14.68197927,2062.684918,11.57750002,15.20643054
240,2665,16.05887122,2048.751184,14.6875,15.12199983
241,2673,10.13589303,1818.292953,2.718499959,15.08010788
242,2674,11.47974367,1868.79726,5.303500062,15.08883664
243,2676,10.8227242,1907.548328,2.582499982,15.13584763
244,2710,13.47014578,2033.083447,9.598500013,15.14471599
245,2716,13.38819151,2028.860705,10.02052631,15.21962125
246,2726,10.21032165,1885.280237,2.584499991,15.1908963
247,2738,10.11040673,1870.41759,2.50150003,15.13568741
248,2740,10.16568565,1846.538763,3.526000005,15.13861598
249,2749,9.900539088,1864.188049,1.936999989,15.16328855
250,2753,11.23111763,1957.510028,3.517500009,15.14017783
251,2756,10.32461801,1873.38407,2.814499995,15.17646065
252,2757,10.25873954,1843.152979,1.817500007,15.14904995
253,2758,9.562924194,1719.573785,1.308999982,15.12206246
254,2759,10.42489254,1837.407874,2.593999982,15.18321647
255,2762,10.12267644,1754.971063,2.001000026,15.14848293
256,2763,10.48124826,1819.094348,2.424999994,15.11037688
257,2767,10.06802845,1758.1104,1.850999974,15.13299313
258,2768,10.64153552,1879.784314,2.891499987,15.16369964
259,2769,10.16048834,1847.699738,2.021500017,15.15613487
260,2770,9.856044579,1731.937903,1.236,15.10765296
261,2771,10.15473385,1846.32962,1.735499978,15.18529952
262,2777,12.20988107,2025.651643,5.72300002,15.20168133
263,2787,10.29943634,1851.249075,2.190526346,15.1794148
264,2791,10.28632348,1836.040411,3.007500023,15.0797288
265,2796,10.25090611,1930.278442,3.445999955,15.12788965
266,2813,12.46322207,2037.787598,6.859500027,15.18547046
267,2814,12.76985598,2043.20835,7.255499995,15.23903869
268,2817,12.72068391,2014.458862,7.374999946,15.14904687
269,2818,13.53453832,2037.463733,8.987499952,15.10519445
270,2825,13.01402717,2045.579877,8.147999978,15.16232447
271,2828,13.68853278,2043.740796,10.08149984,15.14389604
272,2829,13.84325113,2035.922351,9.680499911,15.13525084
273,2834,12.86534166,2013.666016,7.594000041,15.17407805
274,2838,12.26842713,2030.973846,6.091000009,15.17641649
275,2843,10.79998505,1826.290631,2.787499987,15.12160514
276,2846,10.81264462,1862.586401,3.282999958,15.12485147
277,2847,10.77191842,1921.654956,2.594499994,15.19012597
278,2848,10.25170431,1843.144971,2.038500017,15.17197466
279,2849,9.988636541,1754.570935,2.8125,15.10307761
280,2850,10.8603874,1860.667273,3.719499955,15.15990588
281,2851,10.33995051,1914.326331,3.329999998,15.1188971
282,2854,12.4431004,1996.855975,6.420999974,15.17165762
283,2855,11.66284418,1963.853204,4.359999973,15.12355354
284,2858,14.08238847,2016.867194,10.15400009,15.13095349
285,2862,13.07296319,2028.656183,8.138999993,15.16560785
286,2867,14.01513991,2052.316772,9.486000013,15.17012089
287,2874,10.24958827,1761.200592,1.714500027,15.09228998
288,2877,10.99418583,1882.505872,3.012000012,15.11101855
289,2878,10.12883923,1732.023801,1.306999998,15.13869855
290,2879,9.754934764,1755.020703,0.700000004,15.13110396
291,2880,9.458992815,1612.531488,0.91750001,15.01890032
292,2895,12.94232025,2058.551111,9.816000056,15.19807255
293,2897,12.77269611,2064.557135,9.70400002,15.17579243
294,2898,11.93949981,2021.701575,8.056000006,15.07090147
295,2908,9.699750398,1948.676312,2.508500011,15.16292189
296,2909,10.26466098,1914.107605,1.927500006,15.14847091
297,2924,10.37497795,2038.12478,4.535500059,15.1466606
298,2928,10.81864018,1897.836951,2.944999974,15.15194245
299,2936,13.37680576,2058.71228,9.849499965,15.22713827
300,2943,12.89683819,2036.808664,9.622631449,15.14915289
301,2944,11.87142623,2053.041587,8.37736835,15.1186685
302,2948,14.40677152,2045.235211,11.53699995,15.11403143
303,2949,13.87285833,2040.48941,9.431999958,15.12277628
304,2950,12.01597722,2055.292847,8.297500008,15.16964024
305,2963,9.905105448,1831.651038,1.868000012,15.14359201
306,2964,8.39339385,1416.694809,0.461500013,14.91285722
307,2967,9.863692474,1782.434723,1.009499982,15.07057813
308,3045,9.938350821,1796.914819,0.156000001,15.12434176
309,3046,10.26310182,1942.254688,0.845999995,15.15416855
310,3050,9.981601429,1765.237329,0.180000005,15.15209243
311,3054,10.15471539,1913.618848,1.057499999,15.16915235
312,3055,10.37943306,2038.117828,2.3655,15.15991455
313,3056,10.12211957,2034.463196,2.266000013,15.18044481
314,3057,10.11304257,1976.557166,1.222500005,15.16071537
315,3058,10.26514378,1976.141522,1.115500006,15.14476597
316,3060,10.64606476,2009.985175,2.272500008,15.15095338
317,3061,10.57350397,2048.659399,3.102499953,15.15350202
318,3062,10.61222534,2034.319635,2.710999995,15.16987641
319,3063,10.53446701,2029.137952,2.548500006,15.17090043
320,3064,10.36551104,2009.264362,1.634500021,15.1578353
321,3065,10.20331187,1939.622754,0.915000001,15.17007771
322,3142,3.602207971,53.33139544,17.06700046,5.356720258
323,3146,2.803662103,13.45554748,5.71450007,7.564749252
