,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
1206,8.063259935,1370.950177,0.0315,14.97998352
1207,7.957397962,1278.629663,0.033500001,14.76829836
1208,10.10921867,1778.800293,2.148500012,15.0854495
1209,8.917747426,1711.500381,0.961499995,15.13048187
1210,9.35411654,1803.55943,1.959499981,15.08695503
1211,9.182485795,1658.573865,0.739500002,15.12872502
1212,9.192268348,1777.831927,1.263499992,15.12574348
1213,8.528714657,1598.414728,0.298000005,15.11218922
1214,8.716195774,1535.712811,0.190999995,14.99612743
1215,8.714562321,1583.738281,0.134999996,15.09960951
1216,8.908373451,1649.262079,1.431999999,15.05999556
1217,9.738785481,1894.373254,1.253500003,15.1100775
1218,9.44555366,1829.352045,1.240000015,15.12390737
1219,9.097599649,1811.72251,0.579499993,15.14591441
1220,9.158076191,1587.540277,0.254500004,15.1426713
1221,9.327273369,1763.986719,0.739999998,15.16127349
1222,8.851386523,1650.277936,0.1465,15.11807947
1223,9.789126968,1978.207373,1.668000016,15.17257704
1224,10.66984315,2056.225458,4.599499995,15.21227565
1225,9.877781391,1972.061102,2.643000025,15.15914588
1226,9.911546612,2016.751953,2.295000014,15.14302933
1227,9.658428311,1967.709546,2.013999996,15.11831403
1228,9.937756872,1995.383423,1.932500017,15.12244231
1229,9.167598605,1669.229034,0.286499994,15.13037507
1230,8.37245543,1333.754898,0.180499995,14.88114457
1231,8.995264506,1551.91994,0.614999995,15.05367409
1232,8.622492433,1618.207761,0.495999992,14.97603071
1233,7.967217588,1284.257404,0.0535,14.65245241
1234,8.742239213,1524.200252,1.362500012,14.47465865
1235,7.580913424,1121.066019,0.0,14.12012145
1236,8.290316486,1383.298814,0.530499999,14.19263247
1237,9.016165805,1693.158014,0.947000008,15.12445007
1238,8.80650239,1470.954639,1.121000001,14.64417855
1239,8.460775805,1468.985345,0.692999989,14.80475387
1240,8.852890038,1486.621326,0.670999995,14.85448332
1241,8.917042089,1577.339642,0.521499995,15.03231959
1242,7.697652936,1119.950433,0.0,14.53309201
1243,8.794752359,1411.403763,0.0285,14.93078814
1244,8.809843659,1551.673447,0.0605,15.09911397
1245,8.770027184,1445.428757,0.265500001,14.78050947
1246,7.918936467,1206.4431,0.039999999,14.55997606
1247,8.177363491,1293.914334,0.0,14.57690486
1248,8.191526723,1196.259583,0.0,14.54416537
1249,7.49504323,1005.33139,0.0,13.99906518
1250,10.24314718,1901.303839,2.361000003,15.14397047
1251,9.129619861,1718.17381,0.936999995,15.14018552
1252,8.045439935,1295.047557,0.54749999,14.14229894
1253,8.230248141,1395.495923,0.160999998,14.75734185
1254,9.805963087,1913.012244,3.135500017,15.18725136
1255,9.87581377,1899.428485,2.81000002,15.13829358
1256,12.13282824,2069.524884,7.997500038,15.30230024
1257,10.80059755,1980.115277,6.529500031,15.12713045
1258,11.40484081,1940.270752,5.022352909,15.1820562
1259,15.24820971,2048.082123,13.61999996,15.1301199
1260,12.1936274,1994.297693,7.888999957,15.16043378
1261,9.743871546,1718.998108,3.051499999,15.12345906
1262,8.982994533,1672.849597,0.992499995,15.05601503
1263,9.810213947,1743.941312,2.631499976,15.13517082
1264,9.349993992,1608.602557,1.147499992,15.04175355
1265,11.07166576,1898.10744,4.244999987,15.16502242
1266,10.83801959,1901.800024,3.723000005,15.15830576
1267,9.328851247,1771.311591,1.913499991,15.12025684
1268,9.000164962,1454.950235,0.40600001,15.05361088
1269,8.96747632,1591.033301,0.367500001,15.12744543
1270,9.285099387,1666.436542,0.543000004,15.17138641
1271,9.326159549,1547.188583,0.836999992,14.92272153
1272,9.434750104,1622.776416,0.585500005,15.0453558
1273,9.415834975,1646.28176,0.972500005,15.0629949
1274,9.477258301,1794.649957,0.552999996,15.16509555
1275,8.78040359,1493.308084,0.422000009,15.05637914
1276,9.281553864,1633.622079,0.916499986,14.97472273
1277,8.057171416,1395.620242,0.057000002,14.93783046
1278,8.46781106,1404.806104,0.433999995,14.90278499
1279,8.651412702,1441.154123,0.313500005,14.9832062
1280,9.42630446,1638.813898,0.592499992,15.12579341
1281,9.126687074,1623.299286,0.772500016,15.1551725
1282,9.013659978,1599.987585,0.315500002,15.15763888
1283,9.769153666,1800.642651,2.081500015,15.14629251
1284,8.914276314,1459.820881,1.665000002,14.24781463
1285,8.988711834,1426.595602,0.049000001,15.011255
1286,10.13429663,1719.097891,0.861000001,15.08374451
1287,9.544714475,1751.988089,1.035500017,15.07099347
1288,9.124496579,1472.813986,0.183000003,14.95030166
1289,10.1842484,1828.377264,1.624499989,15.136678
1290,8.9250983,1478.816248,0.312999994,15.04662587
1291,9.37037549,1669.870352,0.934500004,15.09947884
1292,8.938871598,1401.493896,0.361500002,14.74241062
1293,8.81446569,1453.1229,0.582500003,14.99672198
1294,9.480803847,1560.24147,0.920500004,15.00498797
1295,9.228613639,1506.132129,0.752500016,15.04448967
1296,10.31576362,1858.882092,2.145000015,15.16823624
1297,9.882551861,1748.904263,1.08049999,15.10259606
1298,9.945720339,1625.228003,1.501999998,15.1160806
1299,8.469654015,1340.934109,0.512000008,14.36207722
1300,8.303978372,1284.494255,0.132000001,14.13302699
1301,9.510670972,1701.082062,0.406000006,15.11402486
1302,9.002299738,1529.855221,0.265789475,14.89199253
1303,8.79081707,1346.428467,0.0,15.14259312
1304,8.71892457,1382.86507,0.0,15.1441859
1305,8.244281435,1199.803851,0.0,15.06529923
1306,8.374181867,1204.210309,0.0,15.12086892
1307,8.480916166,1294.430292,0.0,15.15063697
1308,8.737375641,1480.666553,0.0,15.15070197
1309,7.953184247,1049.1452,0.0,14.65142687
1310,8.486317825,1121.592651,0.0,14.97151409
1311,2.024859342,6.049768841,12.22300042,6.41014192
1312,2.862744021,18.9137199,15.40600039,5.555695066
1313,2.529325467,12.10524232,17.90850061,5.458437514
1314,3.522787491,51.38788127,13.96111155,6.019239432
1315,8.237487483,1131.913312,0.0,15.04340038
1316,2.888742489,3.570407954,19.74350051,4.828716567
1317,2.257534604,6.569038348,8.927778072,6.919845579
1318,5.05348593,207.4578349,6.77600019,8.359272955
1319,8.789035082,1548.25215,0.593333327,15.06956721
1320,9.783001256,1761.449243,1.918500011,15.0701298
1321,8.000815582,1227.417928,0.8385,14.19950554
1322,8.440449882,1341.941986,0.3965,14.34171505
1323,8.657705355,1365.819202,0.347499996,14.69862713
1324,9.17542819,1644.272461,0.563500005,15.02582601
1325,9.007676506,1467.513153,0.262857148,15.022106
1326,8.658652163,1503.294254,0.695000011,14.87868293
1327,9.199173617,1575.023041,2.134499988,14.95118205
1328,9.866532636,1755.58092,1.467,15.12004705
1329,9.544306087,1803.571191,1.303999981,15.08631514
1330,8.959383202,1656.039029,1.352999997,15.0685118
1331,10.2232667,1885.97326,2.063499999,15.1879427
1332,9.643652678,1870.488544,0.782000005,15.14609197
1333,9.24749167,1732.737115,1.178499975,15.09063891
1334,9.719699985,1800.678544,0.916315802,15.1354172
1335,9.141165733,1765.83595,0.748000004,15.10512149
1336,9.062479305,1577.177451,0.226000005,14.96473181
1337,9.17973845,1568.846313,0.077500001,15.04435591
1338,9.460292387,1831.785474,0.46500001,15.13824132
1339,8.355637884,1359.558752,0.0465,14.88118064
1340,8.944588971,1525.612479,0.148500001,14.99404013
1341,8.150621791,1285.606946,0.003157895,14.82270165
1342,8.205986929,1473.045041,0.054,15.07639709
1343,9.067119932,1565.154785,0.089500001,14.94795683
1344,9.549132252,1727.095544,0.932999995,15.15453239
1345,9.325862527,1726.813312,0.944999999,15.13900727
1346,8.822540379,1580.745721,0.0,15.14298794
1347,8.684416866,1373.607739,0.077499998,14.97660694
1348,8.984089828,1542.260901,0.847999996,14.7073043
1349,9.203962588,1623.524417,0.481,15.08004905
1350,8.519025087,1404.792209,0.048499999,14.86473785
1351,8.731509948,1516.944165,0.0,15.13111863
1352,7.765647292,1197.541122,0.0,14.39883591
1353,8.392651391,1302.535718,0.002,14.83091614
1354,7.718572831,1103.422076,0.002,14.20572317
1355,8.537142086,1494.20015,0.054500002,15.08009988
1356,9.279289198,1634.075043,0.159,15.08717962
1357,8.477259302,1518.486078,0.109500001,15.08593981
1358,8.230637932,1336.74642,0.0,14.87333572
1359,9.596726751,1813.503436,0.736000003,15.14965805
1360,7.839488947,1276.318405,0.186500001,14.12911342
1361,8.166059017,1404.315771,0.164500001,14.75357857
1362,8.654994362,1407.552715,0.266499999,14.44120909
1363,7.47117188,1055.956793,0.072000003,13.97966395
1364,8.349605107,1394.817279,0.132631581,14.63931602
1365,8.776245546,1395.287869,0.0245,14.90744948
1366,8.198729014,1309.978513,0.0,14.99912202
1367,8.142317486,1222.87171,0.0,14.68813495
1368,9.074043822,1635.198132,0.064000002,15.14951143
1369,7.668342757,1003.077243,0.0,14.18655311
1370,7.847229433,1007.537546,0.0,14.37339561
1371,7.574899006,1122.536958,0.241000003,13.79148732
1372,9.470668674,1583.989063,0.908500016,15.10434401
1373,9.129118824,1554.41691,0.826000005,14.9330498
1374,9.25330174,1641.883853,1.323999994,15.04196061
1375,10.4410604,1904.915332,3.106499969,15.15262681
1376,10.00474889,1886.666876,2.281999992,15.13167889
1377,13.58959451,2071.13454,10.58550003,15.23036899
1378,13.74806275,2037.677686,12.56050005,15.13110942
1379,15.04175754,2048.784241,13.48550014,15.15961549
1380,7.529272461,1056.235295,0.0,14.00395538
1381,9.519599366,1621.471368,0.423999996,15.07424891
1382,8.873197389,1477.989288,0.521999991,14.67151769
1383,8.347525978,1475.313599,0.055,14.90867566
1384,7.571223736,1004.170944,0.0,14.00407858
1385,6.77904489,594.5849049,7.801000071,10.98594528
1386,8.592402577,1548.139325,1.453500003,14.8673341
1387,9.319068527,1591.491599,1.259500006,14.62169619
1388,9.163997626,1585.461623,1.867999993,14.71298312
1389,8.595780873,1472.827878,0.513999999,14.61411859
1390,8.783354783,1521.541626,0.663500008,14.88228397
1391,8.646790719,1381.675821,0.059500003,15.01723865
1392,8.382980418,1310.595819,0.004,14.93141001
1393,8.568531251,1316.386777,0.0,15.06190462
1394,8.845168138,1529.565411,0.050999999,15.1602383
1395,8.564892864,1391.618201,0.01,15.14113489
1396,8.595056891,1365.925885,0.037,15.07991011
1397,8.929961705,1514.168744,0.0255,15.16585663
1398,9.150372601,1536.402679,0.0005,15.1596601
